Species,domesticated,allocare_binay,adult_mass_combined,Litter_nmass,Litter_wmass,maternal_mass,Adult_mass,Litter_size,Neonatal_mass,Reproductive_years,Gestation_duration,Wean_mass,Wean_age,Litters/year,IBIs,Allonursing,Provisioning_Male,Provisioning_others,Provisioning mothers,Energy_input (Isler Van Schaik),Provisioning_Male (Stockley & Hobson),Energy_input_binary,"Commul nesting, babysitting, retrieval",Carrying_Male,Carrying_others,Care_input (Isler & Van Schaik),MaleCare (Stockley & Hobson),Care_Input_binary,Protection,Protection_binary,notes
Sigmodon_fulviventer,0,1,211,,,NA,211,5,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,
Sigmodon_hispidus,0,0,112.337489378059,,,112.337489378059,185,5.44,6.82816326001233,5.06783441563673,26.7458416240951,20.88,14.7,2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,
Sigmodon_leucotis,0,0,135.5,,,NA,135.5,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,
Sigmodon_ochrogthus,0,NA,113.67,,,NA,113.67,3.75,5.55,NA,34.5,35.55,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Simias_concolor,0,0,7393.9,,,7393.9,6800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,
Sminthopsis_crassicaudata,0,0,15.98,,,15.98,NA,6.52,0.01,NA,NA,6.5,NA,2,97,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Sminthopsis_griseoventer,0,0,17.5,,,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,
Sminthopsis_leucopus,0,0,23.36,,,23.36,NA,8.4,NA,NA,NA,8.88,NA,1,365,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,
Solenodon_cubanus,0,NA,1000,,,NA,1000,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Solenodon_paradoxus,0,NA,900,,,NA,900,1.86,53.75,NA,84,NA,75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_araneus,0,1,9.29,,,9.29,8.98,6.295,0.445,1.88375,21.35,8.43,26.75,1.95,44.56,0,0,0,NA,0,NA,0,1,0.5,0.4,1.9,NA,1,0,0,
Sorex_arcticus,0,1,8,,,8,8.2,6.57,NA,0.525,17,NA,NA,NA,NA,0,0,0,NA,0,NA,0,1,0.5,0.4,1.9,NA,1,0,0,
Sorex_bairdii,0,NA,8.34,,,NA,8.34,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_bendirii,0,NA,15.88,,,NA,15.88,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_cinereus,0,1,3.7,,,3.7,4.26,6.22,0.28,1.26458333333334,19.1,3.5,21.25,NA,NA,0,0,0,NA,0,0,0,1,0.5,0.4,1.9,0,1,NA,NA,
Sorex_corotus,0,NA,9.6,,,NA,9.6,5.05,0.58,NA,23.1,8.6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_dispar,0,NA,4.9,,,NA,4.9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_fumeus,0,0,7.7,,,7.7,8.2,5,NA,0.526666666666667,18.75,4,30,2.5,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_haydeni,0,0,3,,,NA,3,7,NA,NA,20.4,NA,25.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Sorex_hoyi,0,NA,4.37,,,NA,4.37,5.28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_longirostris,0,1,3.68,,,NA,3.68,5.75,NA,NA,NA,NA,26.4,2,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,NA,1,NA,NA,
Sorex_merriami,0,1,4,,,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,NA,1,0,0,
Sorex_minutus,0,0,4.32,,,4.32,7.25,5.905,0.235,1.17333333333333,23.1,4.73,25.2,1.5,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,
Sorex_mirabilis,0,1,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Sorex_monticolus,0,0,6,,,NA,6,5.68,NA,0.5,NA,NA,21,1.33,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_nus,0,1,2.5,,,NA,2.5,6.5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,
Sorex_ortus,0,NA,5.57,,,NA,5.57,5,0.5,0.5,21,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_pacificus,0,NA,6.71,,,NA,6.71,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_palustris,0,1,11.2,,,11.2,12.47,5.7,NA,1.25,22.75,NA,35,2.5,NA,0,0,0,NA,0,NA,0,0,0,0,0,1,1,NA,NA,
Sorex_trowbridgii,0,NA,4.44,,,NA,4.44,4.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sorex_unguiculatus,0,1,14.11,,,14.11,NA,5.24,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,NA,1,NA,NA,
Sorex_vagrans,0,NA,5.58,,,NA,5.58,5.25,0.42,NA,20.1,5.5,21,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
